account_ref,name,c_address_1,c_address_2,c_address_3,c_address_4,c_address_5,vat_reg_number,member_id
3420,Sunderland Travel Ltd,10 Bury Road,Queens Square,Rawtenstall,Rossendale,BB4 6AA,337582338,125
3846,Travel Stop,3 Ipswich Road,Claydon,Ipswich,Suffolk,IP6 0AA,571232463,106
3424,Lesley Jubb Travel Ltd,11 Devon Drive,Diggle,Oldham,Greater Manchester,OL3 5PP,66422272,126
3423,Dalescrest Travel,Shop 2,Old Market Hall,Kirkby Lonsdale,Carnforth,LA6 2BJ,375173147,127
3436,CTA WorldChoice,43 Albert Road,Barnoldswick,Lancashire,,BB18 5AA,17438956,128
3441,Treehouse Travel Ltd,86-90 Paul Street,London,,,EC2A 4NE,,129
3444,Elite Voyages,14 Douglas Street,Peel,Isle of Man,,IM5 1BA,,130
3513,Eastgate Travel,66 SOuthgate,Hornsea,East Yorkshire,,HU18 1AL.,551619542,131
3518,Golden Hind Travel,18 St Peters Avenue,Cleethorpes,Lincolnshire,,DN35 8HL,36436384,132
3521,Good Travel Management Ltd t/a Destina Travel,109 Worcester Road,Hagley,Stourbridge,West Midlands,DY9 0NG,249945424,133
3532,Travelbox Worldchoice,Elizabeth Court,Collingham,Wetherby,West Yorkshire,LS22 5JL,4398946,134
3552,Easi Travel Worldchoice,Spring Street,Easingwold,York,,YO61 3BN,551958318,135
3559,Thirsk Travel Centre,The Royal Oak Hotel,Market Place,Thirsk,North Yorkshire,YO7 1HQ,613122396,136
3561,2 By 2 Holidays Ltd,2 Place Farm,Off Mount Road,Hertfordshire,Wheathampstead,AL4 8SB,8149749,137
3601,Millred Travel Ltd t/a Bryan Somers Travel,1 Main Street,Saintfield,County Down,Northern Ireland,BT24 7AA,89119351,138
3605,Orr's Travel Ltd,1 - 6 St Helens Business Park,130 - 134 High Street,Holywood,County Down,BT18 9HQ,392533539,139
3607,Arrow Travel,184 Andersonstown Road,Belfast,County Antrim,Northern Ireland,BT11 9BZ,4126792,140
3608,Carefree Travel,4 Town Hall Street,Enniskillen,County Fermanagh,Northern Ireland,BT74 7BA,255435556,141
3610,Rosetta Travel,62 Knockbreda Road,Belfast,County Antrim,Northern Ireland,BT6 0JB,422146293,142
3618,Professional Travel,"Unit 1, Thomas Street",Dungannon,County Tyrone,Northern Ireland,BT70 1HN,434165465,143
3632,Hogg Travel Worldchoice,St David's Buildings,Warrenpoint,County Down,,BT14 3HW,51784889,144
3633,Simpson Travel,The Grange,Bank of England Sports Ground,Bank Lane,London,SW15 5JT,412572182,145
3637,Centre Travel,Dundalk Shopping Centre,Dundalk,Co Louth,Ireland,Ireland,,146
3638,Fahy Travel,2/3 Bridge Street,Galway,Co. Galway,Ireland,Ireland,,147
3640,Manning Travel,9 High Street,Kilkenny,Co Kilkenny,Ireland,Ireland,,148
3641,Navan Travel Ltd,1 Bridge Street,Navan,Co Meath,Ireland,Ireland,,149
3646,Keith Prowse Travel (Ireland) Ltd,Irish Life Mall,Dublin 2,Ireland,,Ireland,,150
3653,Reliable Travel,245 Shankill Road,Belfast,,,BT13 1FR,,151
3702,Tully's Travel Ltd,21 William Street,Athy,Co Kildare,Ireland,Ireland,,152
3703,O'Leary's Travel Agency,59 South Main Street,Wexford,Ireland,,Ireland,,153
3704,Shandon Travel,Wilton Shopping Centre,Cork,Ireland,,Ireland,,154
3706,West Cork Travel Worldchoice,High Street,Bantry,Co Cork,Ireland,Ireland,,155
3713,Travelcare Ltd,Florence Road,Bray,Co Wicklow,Ireland,Ireland,,156
3716,McGinnity's Travel Agency Ltd,2 Coleman Road,Cavan,Ireland,,Ireland,,157
3717,Atlantic Travel Worldchoice,Oliver Plunkett Road,Letterkenny,Co Donegal,Ireland,Ireland,,158
3720,Slatterys Travel Agency,1 Russell Street,Tralee,County Kerry,Ireland,Ireland,,159
3721,Tom Mannion Travel Ltd,71 O'Connell Street,Ennis,Co Clare,Ireland,Ireland,,160
