Type,Account Reference,Date,Reference,Extra Reference,Nominal A/C Ref,Department Code,Details,  Net Amount   ,Tax Code,    Tax Amount     
SI,1028,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,174.43,T1,34.89
SC,1028,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,1028,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 53 pax £3pp,159,T1,31.8
SI,1031,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,46.82,T1,9.36
SC,1204,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,1238,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 83 pax £3pp,249,T1,49.8
SC,1246,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,1254,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,70.9,T1,14.18
SC,1254,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,291.7,T1,58.34
SC,1254,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 50 pax £3pp,150,T1,30
SC,1348,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,100.95,T1,20.19
SC,1348,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,103.95,T1,20.79
SC,1348,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 28 pax £3pp,84,T1,16.8
SI,1423,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,77.65,T1,15.53
SC,1423,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 13 pax £3pp,39,T1,7.8
SI,1440,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,20.43,T1,4.09
SC,1494,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 35 pax £3pp,105,T1,21
SC,1532,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,75,T1,15
SC,1532,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 71 pax £3pp,213,T1,42.6
SC,1575,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,56.05,T1,11.21
SC,1575,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 64 pax £3pp,192,T1,38.4
SI,1604,10/03/2023,March'23 ADDS,,4300,,Annual 2023 Membership Fee - March 2023,111,T1,22.2
SI,1740,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,1740,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,1740,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,1740,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 272 pax £3pp,816,T1,163.2
SC,1832,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 24 pax £3pp,72,T1,14.4
SC,1954,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 69 pax £3pp,207,T1,41.4
SC,2056,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2056,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,51.55,T1,10.31
SC,2056,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,2082,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 333 pax £3pp,999,T1,199.8
SC,2106,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 26 pax £3pp,78,T1,15.6
SI,2124,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,2124,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 22 pax £3pp,66,T1,13.2
SC,2157,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 16 pax £3pp,48,T1,9.6
SC,2327,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,2327,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2327,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 78 pax £3pp,234,T1,46.8
SC,2357,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 5 pax £3pp,15,T1,3
SI,2378,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,2378,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 91 pax £3pp,273,T1,54.6
SC,2384,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2384,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 8 pax £3pp,24,T1,4.8
SI,2417,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SI,2417,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,148.44,T1,29.69
SC,2417,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 30 pax £3pp,90,T1,18
SC,2421,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 25 pax £3pp,75,T1,15
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 41 pax £3pp,123,T1,24.6
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,82.65,T1,16.53
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
